P0,A0,B0,k_A,k_B,K,n,t_activation,t_cross,t50,t90,delta_t_50_90,t90_primary_limit,t90_excess_delay,max_secondary_fraction,secondary_fraction_at_t50,secondary_fraction_at_t90,secondary_reservoir_converted,integrated_secondary_fraction,B50_fraction_remaining,B90_fraction_remaining,final_P,final_A,final_B,max_conservation_error
0.01,0.39,0.6,0.15,1.0,0.2,2,1.44072036018009,0.720360180090045,2.4762381190595297,9.169584792396199,6.693346673336669,9.14017925992735,0.02940553246884825,0.8605878631151757,0.8274088959760675,0.026446290239410038,0.9999999999985217,0.6087245498761688,0.37246555775343304,0.0007023480229589412,0.9956674913491976,0.00433250864991493,8.869943889974184e-13,1.4432899320127035e-15
0.01,0.39,0.6,0.15,1.0,0.2,4,2.161080540270135,1.6208104052026013,3.016508254127064,9.184592296148073,6.168084042021009,9.14017925992735,0.0444130362207229,0.8983748062502961,0.8662471719248293,0.03479879836591769,0.9999999999991585,0.6087245498763203,0.4115171093946654,0.0008885479886364144,0.9956674913495819,0.004332508649914926,5.049527727069188e-13,2.220446049250313e-15
0.01,0.39,0.6,0.15,1.0,0.3,1,1.5607803901950976,0.24012006003001501,2.5062531265632817,9.259629814907454,6.753376688344172,9.14017925992735,0.11945055498010326,0.808566857354709,0.7793297094968741,0.08236457425617567,0.9999999996155775,0.6087245497849595,0.37653663571342666,0.0029085775377872946,0.9956674911194328,0.004332508649914948,2.306534798548384e-10,1.5543122344752192e-15
0.01,0.39,0.6,0.15,1.0,0.3,2,2.3411705852926463,1.1555777888944472,3.166583291645823,9.229614807403703,6.06303151575788,9.14017925992735,0.08943554747635218,0.8487489805041286,0.8360372322425959,0.07357131490793621,0.9999999999873604,0.6087245498735103,0.4174171825669889,0.0021542896116341767,0.9956674913425018,0.0043325086499149314,7.583678542181686e-12,6.661338147750939e-16
0.01,0.39,0.6,0.15,1.0,0.3,4,3.5567783891945974,2.596298149074537,4.232116058029015,9.289644822411207,5.057528764382192,9.14017925992735,0.14946556248385612,0.8992222415252508,0.8912488960614985,0.1223979291072394,0.9999999999958189,0.6087245498755249,0.47488545532743454,0.003416778252075224,0.9956674913475769,0.004332508649914953,2.5086715326101583e-12,1.1102230246251565e-15
0.01,0.39,0.6,0.15,1.0,0.5,1,3.0615307653826913,0.48024012006003003,3.0915457728864433,9.49974987493747,6.408204102051027,9.14017925992735,0.359570615010119,0.7851932771418304,0.7720762060285469,0.1897382003973274,0.9999999886150959,0.608724547164876,0.4124805145685631,0.008538490796665374,0.9956674845191433,0.004332508649914907,6.830942505215544e-09,1.1102230246251565e-15
0.01,0.39,0.6,0.15,1.0,0.5,2,4.487243621810905,2.0410205102551275,4.517258629314657,9.709854927463732,5.192596298149075,9.14017925992735,0.5696756675363819,0.8343234971643936,0.8343157827940595,0.30628865271419214,0.999999998571906,0.6087245495363788,0.49217989465885886,0.013120678123376603,0.995667490493229,0.004332508649914928,8.568564191360179e-10,8.881784197001252e-16
0.01,0.39,0.6,0.15,1.0,0.5,4,7.083541770885443,4.8024012006003005,7.113556778389195,10.64032016008004,3.526763381690846,9.14017925992735,1.5001409001526902,0.9080047505429827,0.9016513999863212,0.6029591209017393,0.9999999995437983,0.608724549767863,0.5971122674033873,0.03285586528718204,0.995667491076363,0.004332508649914848,2.7372102074492666e-10,1.4432899320127035e-15
0.01,0.39,0.6,0.15,2.0,0.05,1,0.09004502251125562,0.0,0.8854427213606804,9.154577288644322,8.269134567283642,9.14017925992735,0.014398028716971822,0.9261747841530328,0.8427342697613672,3.414212907235444e-06,1.0,0.6087245498765209,0.25126953567704585,4.4498939173096845e-08,0.9956674913500859,0.004332508649915027,0.0,1.5543122344752192e-15
0.01,0.39,0.6,0.15,2.0,0.05,2,0.1500750375187594,0.015007503751875938,0.8554277138569285,9.154577288644322,8.299149574787394,9.14017925992735,0.014398028716971822,0.9384353161434589,0.8514181880450702,1.326847949491327e-06,1.0,0.6087245498765209,0.2480909604623104,1.6434774445368083e-08,0.9956674913500866,0.004332508649915037,0.0,1.7763568394002505e-15
0.01,0.39,0.6,0.15,2.0,0.05,4,0.28514257128564285,0.1950975487743872,0.9604802401200601,9.154577288644322,8.194097048524263,9.14017925992735,0.014398028716971822,0.9472315122019593,0.8575923418780462,1.5718402822825274e-06,1.0,0.6087245498765209,0.2542100183612344,1.9409773695983865e-08,0.9956674913500823,0.004332508649915048,0.0,2.9976021664879227e-15
0.01,0.39,0.6,0.15,2.0,0.1,1,0.24012006003001501,0.0,1.0355177588794398,9.154577288644322,8.119059529764883,9.14017925992735,0.014398028716971822,0.9127501856537807,0.8409850805780705,1.068819210709245e-05,1.0,0.6087245498765209,0.2642206437551743,1.4662740933866077e-07,0.9956674913500838,0.004332508649915011,0.0,1.4432899320127035e-15
